num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,avg_r_multiple,final_capital,total_fees,symbol,min_swing_percentile,trades_per_day
24,54.166666666666664,1.6833042956437259,21.29318552649115,-10.379820447020336,0.42531782425151393,1212.9318552649115,58.46985848180316,OIL_BRENT/USD,40,0.1610738255033557
19,57.89473684210527,1.9417786565093336,21.147879678623507,-10.379820447020332,0.5283044960759355,1211.478796786235,45.363796274482816,OIL_BRENT/USD,50,0.12751677852348994
19,57.89473684210527,1.9417786565093336,21.147879678623507,-10.379820447020332,0.5283044960759355,1211.478796786235,45.363796274482816,OIL_BRENT/USD,60,0.12751677852348994
13,76.92307692307693,5.032093936922095,31.564067766109794,-4.920372502252911,1.0812365977128298,1315.640677661098,29.613517958130373,OIL_BRENT/USD,70,0.087248322147651
9,77.77777777777779,5.793060259002445,20.645510411562736,-2.5493908675800214,1.0671877898374877,1206.4551041156274,20.08046364887291,OIL_BRENT/USD,80,0.06040268456375839
7,71.42857142857143,4.032507445929098,12.434158265344559,-2.5493908675800157,0.8596162828482221,1124.3415826534456,13.693779405761207,OIL_BRENT/USD,90,0.04697986577181208
40,52.5,1.2959303207391382,16.119637452917438,-17.305126306179446,0.20668112345976217,1161.1963745291744,133.95627203589623,SILVER/USD,0,0.23255813953488372
32,50.0,1.3487145231565798,15.614986954994286,-14.12434122243827,0.24824137637498075,1156.1498695499429,89.74007214608861,SILVER/USD,20,0.18604651162790697
28,50.0,1.4401826514908522,16.705878792476323,-12.42445514799557,0.2977157883327019,1167.0587879247632,73.47222920496105,SILVER/USD,30,0.16279069767441862
24,50.0,1.535749340747636,17.004798241545085,-8.95510588791081,0.35012981405022564,1170.0479824154509,64.64033788165789,SILVER/USD,40,0.13953488372093023
19,47.368421052631575,1.4360168743437063,10.501619805125937,-13.039571928768606,0.284835779769251,1105.0161980512594,46.57278709072697,SILVER/USD,50,0.11046511627906977
15,46.666666666666664,1.4078894965240576,7.6931249300130276,-8.9907751746069,0.26898299354933325,1076.9312493001303,37.67119440551393,SILVER/USD,60,0.0872093023255814
10,40.0,0.9989177087784964,-0.01622974662013803,-7.511481875478032,0.021349510927545466,999.8377025337986,23.730541540705552,SILVER/USD,70,0.05813953488372093
7,57.14285714285714,1.8287738548697374,6.98284508823856,-5.325060527550882,0.5083747577885224,1069.8284508823856,19.930447296526555,SILVER/USD,80,0.040697674418604654
5,60.0,1.9390211361747525,5.576099208480537,-5.32506052755087,0.5703008218535615,1055.7609920848054,15.810785052635492,SILVER/USD,90,0.029069767441860465
115,46.08695652173913,1.3670787906135744,62.350914635310616,-16.913493243400048,0.23271646561530543,1623.5091463531062,244.1605763443097,HYPE/USD,0,0.45634920634920634
92,45.65217391304348,1.3910716152312006,49.997659377573726,-17.289285097785037,0.24256670280087178,1499.9765937757372,180.0130647484742,HYPE/USD,20,0.36507936507936506
81,45.67901234567901,1.377393817190425,45.29647829301259,-15.421398945003887,0.2529933970584802,1452.964782930126,167.01089543865538,HYPE/USD,30,0.32142857142857145
68,47.05882352941176,1.4313104185768666,43.272688098876074,-17.81712675471289,0.28709799658631663,1432.7268809887607,137.6402523063782,HYPE/USD,40,0.2698412698412698
