symbol,strategy,direction,entry_datetime,exit_datetime,exit_reason,pnl_net,r_multiple,capital_after
NCSKAAPL2USD/USDT:USDT,v1_sniper,short,2026-02-26 15:15:00+00:00,2026-02-27 14:30:00+00:00,take_profit,3.6379889925668176,1.8189944962834088,284.889063357913
BNB/USDT:USDT,v1_sniper,long,2026-02-28 13:30:00+00:00,2026-02-28 13:45:00+00:00,take_profit,3.56822594339624,1.78411297169812,288.45728930130923
ADA/USDT:USDT,v1_sniper,long,2026-02-28 14:00:00+00:00,2026-02-28 19:30:00+00:00,take_profit,3.873817813799175,1.9369089068995875,292.3311071151084
XAUT/USDT:USDT,v1_sniper,long,2026-03-02 06:00:00+00:00,2026-03-02 07:00:00+00:00,take_profit,3.4414887109528376,1.7207443554764188,295.77259582606126
NCSKAMZN2USD/USDT:USDT,v1_sniper,long,2026-02-27 15:30:00+00:00,2026-03-02 14:30:00+00:00,stop_loss,-2.246058288190691,-1.1230291440953455,293.5265375378706
HYPE/USDT:USDT,v1_sniper,long,2026-03-02 14:15:00+00:00,2026-03-02 14:30:00+00:00,take_profit,3.833899698882908,1.916949849441454,297.3604372367535
ADA/USDT:USDT,v1_sniper,long,2026-03-02 14:45:00+00:00,2026-03-02 15:15:00+00:00,take_profit,3.8804227488151786,1.9402113744075893,301.2408599855687
BTC/USDT:USDT,v1_sniper,long,2026-03-02 14:45:00+00:00,2026-03-02 15:30:00+00:00,take_profit,3.8728670410366286,1.9364335205183143,305.1137270266053
BNB/USDT:USDT,v1_sniper,long,2026-03-03 14:00:00+00:00,2026-03-03 14:30:00+00:00,stop_loss,-2.564373419494781,-1.2821867097473905,302.54935360711056
ETH/USDT:USDT,v1_sniper,long,2026-03-03 14:15:00+00:00,2026-03-03 14:30:00+00:00,stop_loss,-2.375054540794544,-1.187527270397272,300.174299066316
HYPE/USDT:USDT,v1_sniper,long,2026-03-03 15:30:00+00:00,2026-03-03 16:00:00+00:00,take_profit,3.8338554663459887,1.9169277331729944,304.008154532662
SOL/USDT:USDT,v1_sniper,long,2026-03-03 15:45:00+00:00,2026-03-04 01:30:00+00:00,take_profit,3.8790109923865925,1.9395054961932963,307.8871655250486
ADA/USDT:USDT,v1_sniper,long,2026-03-04 08:45:00+00:00,2026-03-04 14:30:00+00:00,take_profit,3.848886640595416,1.924443320297708,311.736052165644
BNB/USDT:USDT,v1_sniper,short,2026-03-04 14:30:00+00:00,2026-03-04 14:45:00+00:00,stop_loss,-2.6090644974692134,-1.3045322487346067,309.1269876681748
HYPE/USDT:USDT,v1_sniper,long,2026-03-05 08:00:00+00:00,2026-03-05 09:00:00+00:00,take_profit,3.596847091387202,1.798423545693601,312.723834759562
NCSINASDAQ1002USD/USDT:USDT,v1_sniper,long,2026-03-05 14:45:00+00:00,2026-03-05 15:30:00+00:00,stop_loss,-2.5250899245022094,-1.2625449622511047,310.1987448350598
SOL/USDT:USDT,v1_sniper,long,2026-03-06 08:00:00+00:00,2026-03-06 09:00:00+00:00,stop_loss,-2.246896866008922,-1.123448433004461,307.9518479690509
NCCOXAG2USD/USDT:USDT,v1_sniper,short,2026-03-06 09:30:00+00:00,2026-03-06 09:45:00+00:00,take_profit,3.681875680005549,1.8409378400027745,311.63372364905644
HYPE/USDT:USDT,v1_sniper,short,2026-03-06 09:15:00+00:00,2026-03-06 13:30:00+00:00,stop_loss,-2.28039808922489,-1.140199044612445,309.35332555983155
BNB/USDT:USDT,v1_sniper,long,2026-03-07 08:15:00+00:00,2026-03-07 10:45:00+00:00,stop_loss,-3.0883984956234185,-1.5441992478117093,306.2649270642081
BNB/USDT:USDT,v1_sniper,short,2026-03-07 13:30:00+00:00,2026-03-07 18:00:00+00:00,take_profit,3.582222616034738,1.791111308017369,309.84714968024286
SOL/USDT:USDT,v1_sniper,long,2026-03-08 08:00:00+00:00,2026-03-08 10:15:00+00:00,take_profit,3.6825033651900547,1.8412516825950274,313.5296530454329
NCSINASDAQ1002USD/USDT:USDT,v1_sniper,long,2026-03-09 09:15:00+00:00,2026-03-09 09:30:00+00:00,take_profit,3.4402772210280026,1.7201386105140013,316.9699302664609
NCSISP5002USD/USDT:USDT,v1_sniper,long,2026-03-09 09:15:00+00:00,2026-03-09 15:15:00+00:00,take_profit,3.420764263148878,1.710382131574439,320.3906945296098
NCCOXAG2USD/USDT:USDT,v1_sniper,long,2026-03-09 09:15:00+00:00,2026-03-09 20:00:00+00:00,take_profit,3.8653489930493787,1.9326744965246894,324.2560435226592
NCSISP5002USD/USDT:USDT,v1_sniper,short,2026-03-10 10:00:00+00:00,2026-03-10 11:30:00+00:00,take_profit,2.9871826879518277,1.4935913439759139,327.243226210611
NCSINASDAQ1002USD/USDT:USDT,v1_sniper,short,2026-03-10 10:00:00+00:00,2026-03-10 11:30:00+00:00,take_profit,2.98166186328582,1.49083093164291,330.2248880738968
ETH/USDT:USDT,v1_sniper,long,2026-03-10 08:15:00+00:00,2026-03-10 13:30:00+00:00,stop_loss,-2.4005171389485707,-1.2002585694742853,327.82437093494826
ADA/USDT:USDT,v1_sniper,short,2026-03-10 13:30:00+00:00,2026-03-10 14:00:00+00:00,take_profit,3.6729806035215113,1.8364903017607557,331.4973515384698
SOL/USDT:USDT,v1_sniper,short,2026-03-10 13:30:00+00:00,2026-03-10 14:00:00+00:00,take_profit,3.5524251001979255,1.7762125500989627,335.0497766386677
BNB/USDT:USDT,v1_sniper,short,2026-03-10 13:45:00+00:00,2026-03-10 14:45:00+00:00,stop_loss,-2.340623496182109,-1.1703117480910545,332.7091531424856
HYPE/USDT:USDT,v1_sniper,short,2026-03-10 13:45:00+00:00,2026-03-10 17:15:00+00:00,take_profit,3.8270297227737053,1.9135148613868527,336.5361828652593
NCSINASDAQ1002USD/USDT:USDT,v1_sniper,long,2026-03-11 13:30:00+00:00,2026-03-11 15:30:00+00:00,stop_loss,-2.5022030938906346,-1.2511015469453173,334.0339797713687
SOL/USDT:USDT,v1_sniper,long,2026-03-11 13:45:00+00:00,2026-03-11 15:30:00+00:00,stop_loss,-2.1767907215035738,-1.0883953607517869,331.85718904986516
BTC/USDT:USDT,v1_sniper,long,2026-03-11 13:45:00+00:00,2026-03-11 17:15:00+00:00,take_profit,3.7819021285490844,1.8909510642745422,335.6390911784142
NCCOXAG2USD/USDT:USDT,v1_sniper,short,2026-03-12 13:30:00+00:00,2026-03-12 14:45:00+00:00,take_profit,3.7573399585814715,1.8786699792907358,339.3964311369957
HYPE/USDT:USDT,v1_sniper,short,2026-03-12 14:00:00+00:00,2026-03-13 01:15:00+00:00,stop_loss,-2.1616013293797587,-1.0808006646898793,337.23482980761594
ETH/USDT:USDT,v1_sniper,short,2026-03-13 08:00:00+00:00,2026-03-13 08:30:00+00:00,stop_loss,-2.2616754273152444,-1.1308377136576222,334.9731543803007
NCCO1OILBRENT2USD/USDT:USDT,v1_sniper,long,2026-03-13 14:00:00+00:00,2026-03-13 16:15:00+00:00,take_profit,3.8026006685337452,1.9013003342668726,338.7757550488344
NCSISP5002USD/USDT:USDT,v1_sniper,short,2026-03-13 14:45:00+00:00,2026-03-13 17:45:00+00:00,take_profit,3.3747866166248333,1.6873933083124166,342.15054166545923
BTC/USDT:USDT,v1_sniper,short,2026-03-13 15:45:00+00:00,2026-03-13 17:45:00+00:00,take_profit,3.7574203152247003,1.8787101576123502,345.9079619806839
BNB/USDT:USDT,v1_sniper,short,2026-03-13 15:45:00+00:00,2026-03-14 03:45:00+00:00,time_exit,2.258829956182057,1.1294149780910285,348.166791936866
BNB/USDT:USDT,v1_sniper,short,2026-03-15 13:45:00+00:00,2026-03-15 17:45:00+00:00,stop_loss,-2.5210358907672683,-1.2605179453836342,345.6457560460987
