symbol,rr_ratio,num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,avg_r_multiple,trades_per_day,days_analizados,total_fees
OIL_BRENT/USD,2.3,16,37.5,0.8816582898457967,-2.6582875343767793,-9.512367717452149,-0.06366139570751159,0.15975039001560062,100.2,48.539326067548416
OIL_BRENT/USD,2.5,16,37.5,0.9490876056930088,-1.1545342337777698,-9.512367717452145,-0.013643895707511844,0.15975039001560062,100.2,48.93695795317298
SILVER/USD,1.5,17,47.05882352941176,0.8117621260719059,-4.809515636257846,-9.741501724536462,-0.1268377907467899,0.1697524443519867,100.1,84.45067422466731
SILVER/USD,2.0,16,37.5,0.7646823358961594,-6.443215963899047,-10.843595857867154,-0.1846549977819045,0.15976700644892866,100.1,80.03502746757478
SILVER/USD,2.3,16,37.5,0.8878081448944657,-3.1410903604596454,-10.327746117183743,-0.07210249778190439,0.15976700644892866,100.1,81.96814119868537
SILVER/USD,2.5,16,37.5,0.9688154542267837,-0.8861673382577919,-9.98384629006151,0.0029325022180917704,0.15976700644892866,100.1,83.28324363101794
HYPE,1.5,18,44.44444444444444,0.9984141984255988,-0.03472700812544645,-9.357301317920037,0.013782495569493748,0.1797191887675507,100.2,41.77487018692561
HYPE,2.0,17,23.52941176470588,0.5077621845291321,-13.056955448048122,-16.550569462970383,-0.3939943479595011,0.16973478939157566,100.2,36.73326975981329
HYPE,2.3,17,23.52941176470588,0.5888863160763819,-11.025873653757321,-16.066658904045884,-0.32338140678303146,0.16973478939157566,100.2,37.16883666686074
HYPE,2.5,17,23.52941176470588,0.6427337118470527,-9.652188746046988,-15.744051864762879,-0.27630611266538346,0.16973478939157566,100.2,37.46128737034563
AAPL/USD,1.5,10,40.0,0.4583007929378075,-8.147037084335421,-8.659167047138752,-0.40890916234723357,0.0998439937597504,100.2,83.38641622846085
AAPL/USD,2.0,10,40.0,0.5557678519775592,-6.725570825414741,-9.922790686411647,-0.3293887577229624,0.0998439937597504,100.2,83.83254772940298
AAPL/USD,2.3,10,40.0,0.6666120743244509,-5.084944837983574,-9.922790686411645,-0.23945175772296773,0.0998439937597504,100.2,84.4158293204193
AAPL/USD,2.5,10,40.0,0.5583167024108021,-6.606792703088672,-10.548686605403793,-0.32170183464604957,0.0998439937597504,100.2,82.91518576742713
AMZN/USD,1.5,13,46.15384615384615,0.45800433412835034,-9.377720579481979,-9.41197224954676,-0.36543445813379444,0.13300650111904508,97.7,92.94151816255503
AMZN/USD,2.0,12,50.0,0.8677229591542824,-1.85033947345313,-4.257958193496696,-0.06334571124280759,0.12277523180219546,97.7,81.42196702097446
AMZN/USD,2.3,12,41.66666666666667,0.6408022978967273,-5.951927863227115,-6.955404102968486,-0.23853821124281147,0.12277523180219546,97.7,78.18646038406527
AMZN/USD,2.5,12,41.66666666666667,0.602169334487941,-6.570150494151402,-7.923514129140381,-0.2660720638998126,0.12277523180219546,97.7,77.89491735635353
