combo_id,symbol,mode,rsi_ob,rsi_os,require_bb_touch,require_macd_turn,require_volume,require_adx,rr_ratio,num_trades,win_rate,profit_factor,pnl_net_total,max_drawdown_pct
4,ETH,reversal,75,30,True,True,False,False,2.0,182,43.956043956043956,0.7978274930524168,-321.97355450735597,-38.12639641308232
4,XAUT,reversal,75,30,True,True,False,False,2.0,173,29.47976878612717,0.4010331047577779,-768.1370003334806,-77.85361883392832
4,SP500/USD,reversal,75,30,True,True,False,False,2.0,57,47.368421052631575,0.5681907994401096,-277.669846160426,-31.654840494933445
4,NASDAQ100/USD,reversal,75,30,True,True,False,False,2.0,70,38.57142857142858,0.7050049878816582,-235.69825387470894,-24.88125350993001
4,OIL_BRENT/USD,reversal,75,30,True,True,False,False,2.0,42,35.714285714285715,0.6953900757167216,-133.74082830545126,-21.221325540446294
4,SILVER/USD,reversal,75,30,True,True,False,False,2.0,81,32.098765432098766,0.5326916083057575,-445.05640727975174,-51.40837067897187
4,HYPE,reversal,75,30,True,True,False,False,2.0,144,32.63888888888889,0.5070910361475811,-582.5204832828279,-58.67739375837064
4,AAPL/USD,reversal,75,30,True,True,False,False,2.0,58,24.137931034482758,0.28224343617101755,-443.09954224671526,-44.667152185740214
4,AMZN/USD,reversal,75,30,True,True,False,False,2.0,70,32.857142857142854,0.4200751810313061,-415.5795402373109,-44.501113703472164
5,BTC,reversal,75,30,True,False,True,True,2.0,31,45.16129032258064,1.0946123383614776,32.201666015347655,-7.2729809012508415
5,ETH,reversal,75,30,True,False,True,True,2.0,22,59.09090909090909,1.5515141275829003,116.33095080095814,-8.27947871899272
5,XAUT,reversal,75,30,True,False,True,True,2.0,26,23.076923076923077,0.21413153253681735,-326.6210938979133,-32.662109389791325
5,SP500/USD,reversal,75,30,True,False,True,True,2.0,13,30.76923076923077,0.18489681908875552,-164.67753239062097,-17.591218740518194
5,NASDAQ100/USD,reversal,75,30,True,False,True,True,2.0,11,45.45454545454545,0.9767373659345481,-3.145022061886607,-7.397125608214447
5,OIL_BRENT/USD,reversal,75,30,True,False,True,True,2.0,8,25.0,0.364655493940139,-73.29639462521459,-9.194556226291494
5,SILVER/USD,reversal,75,30,True,False,True,True,2.0,16,31.25,0.3599414430632731,-158.43994259381714,-19.130778492611434
5,HYPE,reversal,75,30,True,False,True,True,2.0,32,25.0,0.3341528323714116,-270.6980504738988,-27.812848092529848
5,AAPL/USD,reversal,75,30,True,False,True,True,2.0,7,14.285714285714285,0.14161032208255953,-100.76302090085278,-10.278211671111318
5,AMZN/USD,reversal,75,30,True,False,True,True,2.0,10,10.0,0.15221495834400647,-146.7535957124427,-14.675359571244268
