num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,avg_r_multiple,final_capital,total_fees,symbol,min_swing_percentile,use_trend_filter,ema_filter,trades_per_day
5,20.0,0.5013536482709615,-3.3739563125187035,-6.766230818333736,-0.3287773413789651,966.260436874813,8.344710480270752,ETH/USDT:USDT,30,True,none,0.01984126984126984
4,25.0,0.7507916543622428,-1.1518829164717772,-4.622168304692787,-0.1299757582368058,988.4811708352822,6.9259256094259625,ETH/USDT:USDT,30,True,ema_only,0.015873015873015872
2,50.0,55.23360042091663,3.5702352751080295,-0.06583068886076261,0.8931576247930144,1035.7023527510803,3.232326817962025,ETH/USDT:USDT,30,True,ema_t,0.007936507936507936
39,30.76923076923077,0.6501539942146835,-19.0507715255191,-27.739841782429835,-0.25299849781448025,809.492284744809,80.4041456148562,ETH/USDT:USDT,40,False,none,0.15476190476190477
27,37.03703703703704,0.8789033308600855,-4.149752750995799,-15.435973870173353,-0.060173244989356195,958.502472490042,57.29730819254954,ETH/USDT:USDT,40,False,ema_only,0.10714285714285714
17,41.17647058823529,1.0157808516918985,0.3323898079906826,-9.460646707252263,0.028351798807423646,1003.3238980799068,38.15357115210328,ETH/USDT:USDT,40,False,ema_t,0.06746031746031746
2,0.0,0.0,-4.4101635475522585,-4.4101635475522585,-1.1149716935032845,955.8983645244774,2.893806372262759,ETH/USDT:USDT,40,True,none,0.007936507936507936
1,0.0,0.0,-2.2119194261179356,-2.2119194261179356,-1.1059597130589667,977.8808057388206,1.3496690752958516,ETH/USDT:USDT,40,True,ema_only,0.003968253968253968
0,,,0.0,0.0,,1000.0,,ETH/USDT:USDT,40,True,ema_t,0.0
31,29.03225806451613,0.5974184471566867,-17.608501916610088,-20.610437131375072,-0.2948825463171159,823.9149808338991,60.737863490839736,ETH/USDT:USDT,50,False,none,0.12301587301587301
21,33.33333333333333,0.749175433857263,-6.786651538659544,-13.917374937854913,-0.15005086138566512,932.1334846134046,39.28263308973785,ETH/USDT:USDT,50,False,ema_only,0.08333333333333333
13,38.46153846153847,0.887811341226507,-1.808887890751555,-7.365556255860911,-0.05277498088739992,981.9111210924844,27.37448502861446,ETH/USDT:USDT,50,False,ema_t,0.051587301587301584
2,0.0,0.0,-4.4101635475522585,-4.4101635475522585,-1.1149716935032845,955.8983645244774,2.893806372262759,ETH/USDT:USDT,50,True,none,0.007936507936507936
1,0.0,0.0,-2.2119194261179356,-2.2119194261179356,-1.1059597130589667,977.8808057388206,1.3496690752958516,ETH/USDT:USDT,50,True,ema_only,0.003968253968253968
0,,,0.0,0.0,,1000.0,,ETH/USDT:USDT,50,True,ema_t,0.0
23,30.434782608695656,0.6329317967829615,-12.211116810781197,-15.43194298224294,-0.2656830926176597,877.888831892188,45.19301376237178,ETH/USDT:USDT,60,False,none,0.09126984126984126
17,35.294117647058826,0.789036964931132,-4.716831960038121,-9.041069689685614,-0.12437367796448955,952.8316803996188,33.569169930649835,ETH/USDT:USDT,60,False,ema_only,0.06746031746031746
12,41.66666666666667,0.9493333461360135,-0.7700687374818358,-7.365556255860907,-0.013552860317338785,992.2993126251816,26.806402223339028,ETH/USDT:USDT,60,False,ema_t,0.047619047619047616
1,0.0,0.0,-2.2479673478952007,-2.2479673478952007,-1.1239836739476021,977.520326521048,1.5790649411512494,ETH/USDT:USDT,60,True,none,0.003968253968253968
0,,,0.0,0.0,,1000.0,,ETH/USDT:USDT,60,True,ema_only,0.0
0,,,0.0,0.0,,1000.0,,ETH/USDT:USDT,60,True,ema_t,0.0
16,31.25,0.8001229796241639,-4.562704534960506,-10.338705446421043,-0.12754321271133545,954.372954650395,32.15003845105896,ETH/USDT:USDT,70,False,none,0.06349206349206349
13,30.76923076923077,0.8026026903909858,-3.5647130587505447,-8.243402417792344,-0.12136772657862106,964.3528694124946,26.030021202542088,ETH/USDT:USDT,70,False,ema_only,0.051587301587301584
