symbol,level_type,rr_ratio,num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,avg_r_multiple,trades_per_day,days_analizados,total_fees
NASDAQ100/USD,prevday,2.3,20,40.0,0.505963096384889,-15.125847450962976,-19.313376576795076,-0.38946668291056413,0.4470314318975553,44.7,146.65306435263443
OIL_BRENT/USD,asia,1.0,33,54.54545454545454,0.7172078508188864,-8.599989774182257,-18.938711692225738,-0.12769106024964677,0.9499250374812593,34.7,130.9901257335896
OIL_BRENT/USD,asia,1.5,30,43.333333333333336,0.6936513525652619,-10.905874108529417,-18.200042928102892,-0.17948527853509927,0.8635682158920539,34.7,118.07573627946546
OIL_BRENT/USD,asia,2.0,29,34.48275862068966,0.6046786829933422,-15.11926436980177,-21.737499966784426,-0.26600302960860095,0.8347826086956521,34.7,108.49937317540622
OIL_BRENT/USD,asia,2.3,29,34.48275862068966,0.68069471012847,-12.402870239206527,-19.898103935987365,-0.20974998365272296,0.8347826086956521,34.7,110.34333361553593
OIL_BRENT/USD,london,1.0,33,75.75757575757575,2.0394959946352924,16.936574925244553,-4.610011200495013,0.2427460316731675,0.9499250374812593,34.7,193.59862638151387
OIL_BRENT/USD,london,1.5,31,61.29032258064516,1.704751748901494,17.895252720530767,-6.700430152247826,0.27665424544907474,0.8923538230884557,34.7,179.37654743441712
OIL_BRENT/USD,london,2.0,30,56.666666666666664,1.6712425649059794,20.455741394071904,-7.415556910146143,0.327144673586859,0.8635682158920539,34.7,171.54963832324813
OIL_BRENT/USD,london,2.3,30,53.333333333333336,1.6355131681636972,21.01994598741653,-10.276078060637914,0.33793695023573106,0.8635682158920539,34.7,170.48635286413733
OIL_BRENT/USD,newyork,1.0,32,71.875,1.8288186260297639,14.53553381828806,-6.594449801487951,0.2184300480578429,0.9211394302848576,34.7,167.5789181049849
OIL_BRENT/USD,newyork,1.5,26,61.53846153846154,2.0989221786879644,18.431052520196474,-7.211076108346272,0.3359707786488314,0.7484257871064467,34.7,137.4355523237693
OIL_BRENT/USD,newyork,2.0,22,54.54545454545454,2.1873196213598325,20.461826602678343,-8.387734807366714,0.43995183998965737,0.6332833583208395,34.7,115.96501800726622
OIL_BRENT/USD,newyork,2.3,22,40.909090909090914,1.1566308042280364,3.8629007785676324,-7.85673197247814,0.10497449147693926,0.6332833583208395,34.7,106.07794545525238
OIL_BRENT/USD,prevday,1.0,24,70.83333333333334,1.4479305723513562,6.301713430629524,-2.5718942685354365,0.13333963196594803,0.6908545727136431,34.7,120.51058497001763
OIL_BRENT/USD,prevday,1.5,22,72.72727272727273,2.4076711573488323,20.39183256869803,-2.7478294995812895,0.4331994588528662,0.6332833583208395,34.7,123.43790007467504
OIL_BRENT/USD,prevday,2.0,21,66.66666666666666,2.5018792230288875,25.897886674977418,-2.7478294995813024,0.566917013860347,0.6044977511244377,34.7,118.53739058058476
OIL_BRENT/USD,prevday,2.3,20,65.0,2.4694012298341,27.735125568502482,-6.0292393636481165,0.6354939997322872,0.5757121439280359,34.7,117.32076961609789
XAUT,asia,1.0,35,34.285714285714285,0.2289383717349768,-29.402010574816668,-30.060578051872838,-0.48764138953712394,0.7778377961262443,45.0,340.7490436745717
XAUT,asia,1.5,34,44.11764705882353,0.4759405410970263,-21.797494035973966,-21.864982969285002,-0.34871493971127404,0.7556138590940659,45.0,340.86397231302504
XAUT,asia,2.0,34,41.17647058823529,0.5588240270896253,-21.993252723350484,-24.351242193887153,-0.34692021605869766,0.7556138590940659,45.0,340.26659439108346
XAUT,asia,2.3,33,39.39393939393939,0.6414160115837642,-19.336557206608973,-23.71237082737658,-0.3029404442880953,0.7333899220618875,45.0,343.2608760687838
XAUT,london,1.0,42,40.476190476190474,0.29248256997538014,-29.009235062976575,-30.77772550139582,-0.3993952804306464,0.9334053553514932,45.0,371.4545864615276
XAUT,london,1.5,42,47.61904761904761,0.5713286396927065,-19.219684013429298,-21.482477587176447,-0.24224952388940896,0.9334053553514932,45.0,380.3391782010738
XAUT,london,2.0,40,45.0,0.6167389859090319,-21.444172665914277,-27.57633921916534,-0.28367634925316654,0.8889574812871364,45.0,371.1760502153162
XAUT,london,2.3,40,45.0,0.7287947638255312,-15.607599608022088,-23.777746506343203,-0.19197413655226336,0.8889574812871364,45.0,382.07212439063414
XAUT,newyork,1.0,37,37.83783783783784,0.13636787912102397,-38.95825447802802,-40.06295256973845,-0.655330382842756,0.8222856701906011,45.0,300.89587021524517
XAUT,newyork,1.5,35,34.285714285714285,0.2573750882945937,-34.298633818920585,-37.37551257219424,-0.5858732288135542,0.7778377961262443,45.0,291.9302649514076
XAUT,newyork,2.0,33,27.27272727272727,0.26554509801706616,-40.30824959695118,-40.35976370781642,-0.7615420447291688,0.7333899220618875,45.0,277.56594539782037
XAUT,newyork,2.3,33,24.242424242424242,0.2660537177187994,-41.38054438120487,-41.43113309933119,-0.786597699193948,0.7333899220618875,45.0,268.7669009794865
XAUT,prevday,1.0,23,52.17391304347826,0.3593367385011409,-17.048562592443613,-17.120149863954175,-0.3959934430914788,0.5111505517401034,45.0,166.64992880323342
XAUT,prevday,1.5,22,45.45454545454545,0.4825493084500439,-16.27239554975554,-17.394304461702966,-0.38855592073268197,0.488926614707925,45.0,156.9979368803404
XAUT,prevday,2.0,20,40.0,0.5560003585017437,-15.009841921404268,-17.193389557663274,-0.38650570286753533,0.4444787406435682,45.0,145.33299168222405
XAUT,prevday,2.3,20,40.0,0.6148876687177474,-13.156236699432908,-15.738182597362343,-0.3309123162239816,0.4444787406435682,45.0,146.2747784056839
AMZN/USD,asia,1.0,22,59.09090909090909,0.8720923330139535,-1.641372930984835,-4.02095082228709,-0.0325253378705519,0.582942313000276,37.7,166.49693788125347
AMZN/USD,asia,1.5,21,52.38095238095239,0.9891651774826289,-0.18773464873850118,-6.369886449007097,0.005298253089689411,0.5564449351366271,37.7,155.89962666176697
AMZN/USD,asia,2.0,18,38.88888888888889,0.7374951013430081,-6.042727779747406,-8.93260630517399,-0.15556564306408893,0.47695280154568037,37.7,116.52462486562919
AMZN/USD,asia,2.3,18,38.88888888888889,0.8810331334983618,-2.7785159973817146,-8.616784353502533,-0.057551737578479166,0.47695280154568037,37.7,118.49016428244416
AMZN/USD,london,1.0,36,52.77777777777778,0.5414705127623397,-14.578589221573917,-15.572208367082279,-0.2099821859820992,0.9539056030913607,37.7,313.42873140183633
AMZN/USD,london,1.5,32,62.5,1.1631948496935116,5.1127266018463615,-8.414290487389732,0.09070979360601705,0.8479160916367651,37.7,297.8515453547904
AMZN/USD,london,2.0,31,61.29032258064516,1.425061335289325,15.154375926998659,-7.3250077800591935,0.24674245773993903,0.8214187137731161,37.7,299.7415269256531
AMZN/USD,london,2.3,28,64.28571428571429,1.6489111610373508,20.235856815434136,-7.325007780059178,0.35023336079504547,0.7419265801821694,37.7,269.10442471439507
AMZN/USD,newyork,1.0,25,40.0,0.316400188156102,-18.42557802772834,-18.908280078708895,-0.39771338091936687,0.6624344465912227,37.7,190.84800512238488
AMZN/USD,newyork,1.5,23,43.47826086956522,0.7045599321181452,-7.522154210886913,-9.2815361815516,-0.15769727456050248,0.6094396908639249,37.7,173.2249550266403
AMZN/USD,newyork,2.0,22,31.818181818181817,0.4039266667194297,-18.711823767394424,-19.68771378755344,-0.45378598315317276,0.582942313000276,37.7,149.70829823028808
AMZN/USD,newyork,2.3,21,28.57142857142857,0.41216963971608495,-18.566191643854257,-18.566331006906417,-0.47032368264688734,0.5564449351366271,37.7,147.20666359847803
AMZN/USD,prevday,1.0,16,50.0,0.4435436835754012,-7.817355117761804,-8.671817851425544,-0.2474073938295395,0.42395804581838253,37.7,88.90159851458824
AMZN/USD,prevday,1.5,16,43.75,0.581675413694489,-6.986754806266561,-8.751029913450123,-0.21626676882953963,0.42395804581838253,37.7,89.11897301243678
AMZN/USD,prevday,2.0,16,43.75,0.8051128594489038,-3.3141438976624955,-7.942757172716967,-0.09259633743877528,0.42395804581838253,37.7,90.71570952260535
AMZN/USD,prevday,2.3,15,40.0,0.7191055591214768,-4.899174656265677,-9.437170221235105,-0.15249281870509934,0.3974606679547336,37.7,85.17379875514106
ADA,asia,1.0,50,74.0,1.6678975549381465,23.10800279834343,-4.613004131365246,0.21555408896146003,1.1111968516089203,45.0,188.0998390152408
ADA,asia,1.5,48,62.5,1.8134203701577778,36.99972543410047,-5.149381543905528,0.3419593129879716,1.0667489775445635,45.0,186.22756413688586
ADA,asia,2.0,46,56.52173913043478,1.8962180470622865,45.55271254388145,-7.5199131957287575,0.42924917875105195,1.0223011034802068,45.0,169.89608757457822
ADA,asia,2.3,42,54.761904761904766,1.9464746965531594,43.573178264397896,-11.741824839102742,0.4547622066289818,0.9334053553514932,45.0,146.31727004001206
ADA,london,1.0,59,69.49152542372882,1.440399300030871,20.45576504912781,-8.150644276934658,0.1655073019718124,1.3112122848985261,45.0,250.6198717031491
ADA,london,1.5,58,65.51724137931035,1.8485379383175486,49.290305862730335,-8.947114524227633,0.35821693604728444,1.2889883478663478,45.0,287.5612660346487
ADA,london,2.0,54,53.70370370370371,1.4897639102743363,31.436936083918955,-8.908112952927159,0.2714118008111032,1.2000925997376342,45.0,236.49611830466097
ADA,london,2.3,52,48.07692307692308,1.2899458056913171,19.466285187528072,-9.045746884506913,0.19153070042687345,1.1556447256732771,45.0,216.07722253083392
ADA,newyork,1.0,35,74.28571428571429,1.7117225553820303,18.053098600304292,-4.072228957812589,0.24541172155069063,0.7778377961262443,45.0,154.21689586870446
ADA,newyork,1.5,34,52.94117647058824,1.0557496167277756,2.225382938839675,-10.041659424242345,0.046523681563344244,0.7556138590940659,45.0,138.68629739595139
ADA,newyork,2.0,34,47.05882352941176,1.0976374710957242,4.390394615476816,-11.62685310278524,0.08274324792877724,0.7556138590940659,45.0,137.3442280928035
ADA,newyork,2.3,34,47.05882352941176,1.2239039351975725,10.406665847557132,-11.62685310278524,0.16833946483572787,0.7556138590940659,45.0,142.1028433105204
ADA,prevday,1.0,17,47.05882352941176,0.5219255016453547,-9.733085588401593,-12.5000511764395,-0.29172201480727294,0.37780692954703293,45.0,46.31734292084348
ADA,prevday,1.5,17,29.411764705882355,0.384126366446034,-15.061830970066104,-17.64591829411278,-0.4681102501013895,0.37780692954703293,45.0,44.704452683882224
ADA,prevday,2.0,17,29.411764705882355,0.5334965769812282,-11.692019385132983,-16.297103250049947,-0.3505043677484503,0.37780692954703293,45.0,45.70448112312771
ADA,prevday,2.3,17,29.411764705882355,0.6216458613090864,-9.622597117653322,-15.81141444435819,-0.27994083833668537,0.37780692954703293,45.0,46.31301475471955
BNB,asia,1.0,41,60.97560975609756,0.5833845211490147,-16.0730352766759,-20.164567607824964,-0.20474813731968683,0.9111814183193148,45.0,317.188080563295
BNB,asia,1.5,41,60.97560975609756,0.9346866014045365,-3.1475278027060196,-12.954328344251003,-0.02511536151948678,0.9111814183193148,45.0,339.2964769689978
BNB,asia,2.0,39,53.84615384615385,1.02018814453154,1.0848640942028283,-12.413877464706127,0.033036735213642525,0.866733544254958,45.0,326.728150445924
BNB,asia,2.3,38,52.63157894736842,1.0438743688132122,2.357239601429876,-11.610911592219555,0.05188879436886251,0.8445096072227796,45.0,316.292717532816
BNB,london,1.0,46,56.52173913043478,0.5934055204654684,-15.315482283376411,-18.414561053882714,-0.17331186322067832,1.0223011034802068,45.0,316.11693668151105
BNB,london,1.5,40,62.5,1.0749426109445808,2.767795104953143,-11.237347887747054,0.044878802388247416,0.8889574812871364,45.0,299.6082304285098
BNB,london,2.0,38,57.89473684210527,1.3680032446054033,14.635260506983627,-10.365912285593659,0.19546642558277005,0.8445096072227796,45.0,295.67127113032836
BNB,london,2.3,37,54.054054054054056,1.2567887572945686,11.74530433159466,-9.319026314625225,0.1696659757954787,0.8222856701906011,45.0,293.4483191359034
BNB,newyork,1.0,44,59.09090909090909,0.6485464811590242,-13.396747769335581,-19.992155275777407,-0.15563767482606908,0.97785322941585,45.0,335.1639138741157
BNB,newyork,1.5,41,56.09756097560976,0.7959937702800776,-9.359875477915352,-16.670646673641848,-0.1073107011406035,0.9111814183193148,45.0,315.74727387089143
BNB,newyork,2.0,39,56.41025641025641,1.1101312614998422,5.706653027693142,-11.92815566378924,0.08969856166331046,0.866733544254958,45.0,331.4153052595477
BNB,newyork,2.3,39,53.84615384615385,1.1836167942798144,10.933372044744532,-15.525197575229072,0.1565487846783931,0.866733544254958,45.0,348.7972451468886
BNB,prevday,1.0,34,67.64705882352942,0.9187485770521184,-2.478172000155428,-17.381657082418105,-0.02861371903686502,0.7556138590940659,45.0,221.60863482094925
BNB,prevday,1.5,31,64.51612903225806,1.0603071578062038,2.048973882742439,-16.479919452656482,0.04478954663039017,0.6889420479975307,45.0,202.66617840052623
BNB,prevday,2.0,29,58.620689655172406,1.1853652348771333,6.583104399911849,-16.21716076110566,0.12613605307898024,0.6444941739331739,45.0,189.45286950055015
BNB,prevday,2.3,29,55.172413793103445,1.0846897106281328,3.3141004441334188,-18.98235839393815,0.07481336818187985,0.6444941739331739,45.0,189.0498767731971
AAPL/USD,asia,1.0,53,54.71698113207547,0.5595993579721537,-17.173745478577654,-19.405035323590045,-0.17097905827979398,1.2399675060926076,42.7,472.6957904058051
AAPL/USD,asia,1.5,51,60.78431372549019,0.7847134703062162,-10.445757464377596,-14.229312558752508,-0.09674048514330427,1.1931762794476035,42.7,451.4383003059334
AAPL/USD,asia,2.0,50,57.99999999999999,1.1198592767539475,6.71619899537277,-14.751291218765964,0.08238924302494104,1.1697806661251016,42.7,473.4078249196325
AAPL/USD,asia,2.3,49,59.183673469387756,1.3155301618713253,18.455622659597886,-13.485785366654984,0.19366933167454337,1.1463850528025994,42.7,483.48445756291204
AAPL/USD,london,1.0,47,42.5531914893617,0.3595828551000034,-28.806533699028307,-31.84143919249015,-0.35265716120718804,1.0995938261575955,42.7,375.7723702469622
AAPL/USD,london,1.5,44,38.63636363636363,0.4009655301204683,-29.984011550230083,-31.951860996504045,-0.39265303046407546,1.0294069861900894,42.7,342.80917063862165
AAPL/USD,london,2.0,43,41.86046511627907,0.563294424260009,-23.95974464581652,-30.116140663066282,-0.30295660789596,1.0060113728675872,42.7,349.96438477153384
AAPL/USD,london,2.3,43,44.18604651162791,0.7029222458077663,-17.115556934465395,-27.291342458165772,-0.20036036467138948,1.0060113728675872,42.7,366.69094897556846
AAPL/USD,newyork,1.0,29,68.96551724137932,0.7021408971494446,-7.67761794852073,-10.93062281826953,-0.1288401192919157,0.6784727863525589,42.7,215.32799273798585
AAPL/USD,newyork,1.5,27,55.55555555555556,0.7467288291252977,-7.466293078767159,-13.338720277544597,-0.13129388541809334,0.6316815597075548,42.7,198.65080579782833
AAPL/USD,newyork,2.0,25,48.0,0.6979793040615835,-10.346666878556618,-15.88087842285846,-0.20033323954627263,0.5848903330625508,42.7,182.4161026551407
AAPL/USD,newyork,2.3,25,44.0,0.6323157881243874,-13.217107693603383,-18.929143071687374,-0.263281109665765,0.5848903330625508,42.7,174.68220586512703
AAPL/USD,prevday,1.0,30,56.666666666666664,0.5648159134154841,-10.906611911849904,-12.70036396530046,-0.18546450393383032,0.7018683996750609,42.7,214.195510966804
AAPL/USD,prevday,1.5,29,51.724137931034484,0.6202896126398488,-10.84653209598323,-13.9399040954222,-0.18803732635137416,0.6784727863525589,42.7,208.24336372879716
AAPL/USD,prevday,2.0,29,51.724137931034484,0.779281038088223,-7.220561592513695,-15.03477521057593,-0.11502371274389367,0.6784727863525589,42.7,208.52133590383136
AAPL/USD,prevday,2.3,28,50.0,0.8581315527044343,-4.692101706686264,-16.58286106725812,-0.06878887457473659,0.6550771730300569,42.7,203.12906429764848
ETH,asia,1.0,37,62.16216216216216,0.9398929957285177,-1.8181453017668787,-11.88350653390279,-0.017186081449393816,0.8222856701906011,45.0,212.9261984733874
ETH,asia,1.5,34,47.05882352941176,0.8600001770383937,-5.474808395546881,-9.342770017967613,-0.06973452760837273,0.7556138590940659,45.0,185.28325213289028
ETH,asia,2.0,33,45.45454545454545,1.0645414469823467,2.622529848916042,-8.763850120902376,0.05650144519402439,0.7333899220618875,45.0,188.67441099729518
ETH,asia,2.3,32,43.75,1.1422993535018549,5.84084089139426,-8.763850120902378,0.10888143546119257,0.7111659850297091,45.0,185.9887639642178
ETH,london,1.0,56,55.35714285714286,0.4881796487873267,-27.92758625325199,-30.037807823777257,-0.2829802432023452,1.244540473801991,45.0,289.1135549054603
ETH,london,1.5,49,44.89795918367347,0.5664958049618948,-26.64434472514256,-30.792677612309948,-0.302149248723316,1.088972914576742,45.0,240.84828673928502
ETH,london,2.0,48,35.41666666666667,0.5338753551903158,-32.33861612766488,-38.60701358426376,-0.38816227728135616,1.0667489775445635,45.0,221.4235582661895
ETH,london,2.3,46,32.608695652173914,0.5011457151872992,-32.662771738008374,-37.07259676189903,-0.40996046330646907,1.0223011034802068,45.0,208.0462295320734
ETH,newyork,1.0,39,69.23076923076923,1.2837157510532333,7.055070109048597,-8.131151791419281,0.09367842377115142,0.866733544254958,45.0,224.08417639578354
ETH,newyork,1.5,35,65.71428571428571,1.7233920478066653,19.116270893008505,-4.189091590659169,0.2603639304776129,0.7778377961262443,45.0,210.73131816069096
ETH,newyork,2.0,33,60.60606060606061,1.8418044380382226,26.024193435036818,-8.89953507418704,0.3671776022553449,0.7333899220618875,45.0,193.0229171030408
ETH,newyork,2.3,33,60.60606060606061,2.0820340605945007,34.42342967268871,-8.899535074187044,0.46826299392542226,0.7333899220618875,45.0,199.1402396614241
ETH,prevday,1.0,32,46.875,0.5801800195217628,-12.85640770450093,-12.870806884651051,-0.20672456591067323,0.7111659850297091,45.0,160.2025246801833
ETH,prevday,1.5,31,41.935483870967744,0.7009637437255956,-9.644157108637351,-10.36240499814239,-0.1528206656018538,0.6889420479975307,45.0,152.2126894410535
ETH,prevday,2.0,29,37.93103448275862,0.6959402123213622,-10.488194459647378,-12.058147212566697,-0.1768675702189005,0.6444941739331739,45.0,134.05782459435076
ETH,prevday,2.3,29,37.93103448275862,0.8186320558546462,-6.401913115850709,-9.152662388179012,-0.0973777066323117,0.6444941739331739,45.0,136.90078734737395
HYPE,asia,1.0,38,73.68421052631578,1.634519044563498,16.045932916681135,-5.364751284611679,0.20298942487068528,0.8445096072227796,45.0,174.00033157672445
HYPE,asia,1.5,34,64.70588235294117,1.7338319075432203,22.602998377698874,-5.366046512427857,0.3128540701869018,0.7556138590940659,45.0,155.14979686358757
HYPE,asia,2.0,33,57.57575757575758,1.7209264394952335,27.131857126281535,-5.4468922278497285,0.38402635845890687,0.7333899220618875,45.0,153.18528312352848
HYPE,asia,2.3,32,59.375,2.184901106818714,42.92670269475773,-5.44689222784972,0.5837105956724107,0.7111659850297091,45.0,157.40321217566418
HYPE,london,1.0,52,59.61538461538461,0.8621494310965724,-6.361775548006824,-13.855703073711922,-0.054262158443629485,1.1556447256732771,45.0,183.61610905462754
HYPE,london,1.5,49,57.14285714285714,1.2968179739710592,14.473769212506182,-13.087472691952234,0.15174972534601702,1.088972914576742,45.0,186.0618270714773
HYPE,london,2.0,46,45.65217391304348,1.0351686209056987,2.0714455041652853,-13.304912779802578,0.04229933134942876,1.0223011034802068,45.0,170.36002403166327
HYPE,london,2.3,45,44.44444444444444,1.2051098015789685,12.247831907300679,-17.315752520228948,0.15304485425620235,1.0000771664480284,45.0,172.3752204127056
HYPE,newyork,1.0,40,57.49999999999999,0.7584766029358101,-10.072900660965388,-18.6860929828779,-0.12299968243755292,0.8889574812871364,45.0,171.14166006288616
HYPE,newyork,1.5,38,47.368421052631575,0.8466483454174452,-7.981916525195527,-22.983688791379684,-0.09370210500245657,0.8445096072227796,45.0,170.1945227608233
