num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,avg_r_multiple,final_capital,total_fees,symbol,min_swing_percentile,tp_rr_ratio
43,60.46511627906976,1.554521063688543,32.52650962613261,-8.224542579879577,0.34896208329578027,1325.265096261326,267.6044354873015,SP500/USD,50,2.0
43,44.18604651162791,0.8462338018161633,-9.388765147643927,-22.191609484071428,-0.09573248290856505,906.1123485235607,182.87471216823778,NASDAQ100/USD,50,2.0
19,57.89473684210527,1.9417786565093336,21.147879678623507,-10.379820447020332,0.5283044960759355,1211.478796786235,45.363796274482816,OIL_BRENT/USD,50,2.0
19,47.368421052631575,1.4360168743437063,10.501619805125937,-13.039571928768606,0.284835779769251,1105.0161980512594,46.57278709072697,SILVER/USD,50,2.0
60,50.0,1.5993994986156284,50.57353587181744,-13.281391986592036,0.36447318386738153,1505.7353587181744,120.29020500259608,HYPE/USD,50,2.0
27,37.03703703703704,0.6893227277455917,-12.752383606956618,-18.184976250241164,-0.2318604748757748,872.4761639304338,101.40716064991473,AAPL/USD,50,2.0
37,59.45945945945946,1.770371420938291,37.81677405985715,-11.617299060500178,0.45626030045515104,1378.1677405985715,161.6735172701017,AMZN/USD,50,2.0
41,17.073170731707318,0.3509572289837702,-42.736848236739974,-43.241479910286756,-0.6606131156135642,572.6315176326002,97.36799706448947,BTC,50,2.5
31,25.806451612903224,0.6323738721843768,-16.982415221910184,-24.484103805704663,-0.27869706244614845,830.1758477808982,61.00287531719725,ETH,50,2.5
45,33.33333333333333,0.5839143635068981,-28.53259079020792,-29.98999233534955,-0.3512080823580787,714.6740920979208,168.0969707897326,XAUT,50,2.5
43,60.46511627906976,1.8989351177343043,59.73514281627676,-8.22454257987957,0.5741557247733571,1597.3514281627677,298.24157485463815,SP500/USD,50,2.5
43,41.86046511627907,0.9055218762117356,-6.157654878646599,-19.953286875878682,-0.05062572067983913,938.423451213534,185.54404562140886,NASDAQ100/USD,50,2.5
19,47.368421052631575,1.6138754263551287,16.14495510605327,-13.603668049716736,0.4232623908127768,1161.4495510605327,43.426231197383636,OIL_BRENT/USD,50,2.5
19,42.10526315789473,1.4520142667569487,12.418664772927604,-18.076831067084687,0.3374673587166205,1124.186647729276,47.64730946756815,SILVER/USD,50,2.5
59,44.06779661016949,1.6099789832735572,50.939834846760434,-19.58504557325246,0.37852930474593904,1509.3983484676044,111.52210893244829,HYPE/USD,50,2.5
27,37.03703703703704,0.8642420266405427,-5.77029058605051,-18.184976250241164,-0.08371232672762714,942.2970941394949,105.00525670794163,AAPL/USD,50,2.5
37,51.35135135135135,1.6194090292692074,35.608955502789875,-13.471957435333001,0.4426994896443397,1356.0895550278988,157.43136687252186,AMZN/USD,50,2.5
41,17.073170731707318,0.346090588078696,-42.88938286140443,-42.899418458846064,-0.6636150004061026,571.1061713859557,96.99477969562454,BTC,50,3.0
31,25.806451612903224,0.7637060743341805,-11.269814357312452,-23.763180770714705,-0.16580512696227748,887.3018564268755,63.07992777980717,ETH,50,3.0
45,33.33333333333333,0.6717576388114239,-23.28249771407509,-26.567222972066478,-0.2686412895841269,767.1750228592491,173.64146363677588,XAUT,50,3.0
43,51.162790697674424,1.461938715318585,31.137532763307195,-11.113885285693073,0.3490316127860574,1311.375327633072,249.52782361356486,SP500/USD,50,3.0
43,41.86046511627907,1.0565663246521668,3.904985231592309,-16.040791359591893,0.07335929738700772,1039.049852315923,195.25851028320494,NASDAQ100/USD,50,3.0
19,36.84210526315789,1.2985978054842138,8.74791595826373,-13.42272942665918,0.2528015370966806,1087.4791595826373,42.98761751671414,OIL_BRENT/USD,50,3.0
19,42.10526315789473,1.737925768458468,21.31245379632144,-18.07683106708467,0.548104200821881,1213.1245379632144,49.875961903971856,SILVER/USD,50,3.0
58,41.37931034482759,1.7114016569465065,57.816660095991324,-18.042255877778242,0.42975430693947275,1578.1666009599132,105.94856051561504,HYPE/USD,50,3.0
27,33.33333333333333,0.867244096321843,-6.021684786170908,-18.184976250241164,-0.08360862302392513,939.7831521382909,105.66206440834286,AAPL/USD,50,3.0
36,38.88888888888889,1.1924986221611946,11.471633304845726,-12.896348641625103,0.18586562829591824,1114.7163330484573,133.327386462335,AMZN/USD,50,3.0
24,45.83333333333333,0.8904276740167277,-3.345974287076513,-14.377044397571193,-0.055922093733055345,966.5402571292349,59.792933962645805,BTC,70,1.5
16,43.75,1.024416514799186,0.4687872549201415,-10.52019888076962,0.028903662288663153,1004.6878725492014,33.73026832830757,ETH,70,1.5
28,42.857142857142854,0.6714889743797733,-12.570999253907747,-18.843443325614786,-0.22559339944191273,874.2900074609225,101.1100902235025,XAUT,70,1.5
22,63.63636363636363,1.218483523756707,5.195478838538611,-9.84931472509636,0.12918351500736075,1051.954788385386,122.03179645688348,SP500/USD,70,1.5
29,55.172413793103445,0.970031769405511,-1.0451953149913151,-10.955051449031014,-0.0039054414894995116,989.5480468500868,129.3047297846072,NASDAQ100/USD,70,1.5
13,84.61538461538461,5.330601631599076,27.901592212378134,-4.9203725022529055,0.9644910176665886,1279.0159221237814,29.43203133405712,OIL_BRENT/USD,70,1.5
10,40.0,0.7378942411383599,-3.8205145892364727,-7.511481875478035,-0.17879048907245876,961.7948541076353,23.126311882319595,SILVER/USD,70,1.5
34,58.82352941176471,1.6825524791285167,26.183294125124483,-8.00340451389787,0.3585401107049257,1261.8329412512448,57.33780107656622,HYPE/USD,70,1.5
13,61.53846153846154,1.9618924431856977,10.243869728979098,-5.015064664543791,0.38941482661758037,1102.438697289791,36.8071183391731,AAPL/USD,70,1.5
22,63.63636363636363,1.5027241885080302,11.44424463813948,-10.878069579449278,0.26132077706367607,1114.4424463813948,85.0778734933221,AMZN/USD,70,1.5
