pase,anchor,confirmer,symbol,horizon,n_signals,n_conclusive,hit_rate,avg_ret_aligned_pct
C_4h_4h,bb,rsi,ETH,1,67,52,51.9,0.081
C_4h_4h,bb,macd,ETH,1,59,49,61.2,0.1
C_4h_4h,bb,ema,ETH,1,160,128,53.1,-0.003
C_4h_4h,bb,adx,ETH,1,415,340,53.5,0.055
C_4h_4h,bb,vol,ETH,1,261,225,53.3,0.085
C_4h_4h,bb,(solo),ETH,2,607,546,53.1,0.009
C_4h_4h,bb,rsi,ETH,2,67,62,51.6,0.155
C_4h_4h,bb,macd,ETH,2,59,53,60.4,0.118
C_4h_4h,bb,ema,ETH,2,160,143,51.0,0.01
C_4h_4h,bb,adx,ETH,2,415,376,53.7,-0.007
C_4h_4h,bb,vol,ETH,2,261,229,52.0,0.097
A_1h_1h,rsi,(solo),XAUT,1,374,178,46.1,-0.023
A_1h_1h,rsi,macd,XAUT,1,53,25,44.0,-0.013
A_1h_1h,rsi,bb,XAUT,1,10,6,50.0,0.045
A_1h_1h,rsi,ema,XAUT,1,12,8,75.0,0.225
A_1h_1h,rsi,adx,XAUT,1,339,162,44.4,-0.033
A_1h_1h,rsi,vol,XAUT,1,213,108,42.6,-0.039
A_1h_1h,rsi,(solo),XAUT,2,374,226,47.3,-0.041
A_1h_1h,rsi,macd,XAUT,2,53,31,38.7,-0.053
A_1h_1h,rsi,bb,XAUT,2,10,5,40.0,-0.053
A_1h_1h,rsi,ema,XAUT,2,12,9,66.7,0.253
A_1h_1h,rsi,adx,XAUT,2,339,207,46.9,-0.045
A_1h_1h,rsi,vol,XAUT,2,213,134,44.0,-0.053
A_1h_1h,rsi,(solo),XAUT,4,374,258,48.8,-0.056
A_1h_1h,rsi,macd,XAUT,4,53,35,51.4,-0.071
A_1h_1h,rsi,bb,XAUT,4,10,10,50.0,-0.084
A_1h_1h,rsi,ema,XAUT,4,12,10,70.0,0.322
A_1h_1h,rsi,adx,XAUT,4,339,233,48.1,-0.054
A_1h_1h,rsi,vol,XAUT,4,213,157,44.6,-0.09
A_1h_1h,macd,(solo),XAUT,1,12146,4120,48.2,-0.004
A_1h_1h,macd,rsi,XAUT,1,6654,2347,48.4,-0.002
A_1h_1h,macd,bb,XAUT,1,6540,2321,48.3,-0.001
A_1h_1h,macd,ema,XAUT,1,6190,2132,49.8,0.001
A_1h_1h,macd,adx,XAUT,1,7866,3105,48.0,-0.004
A_1h_1h,macd,vol,XAUT,1,4455,1935,48.4,-0.004
A_1h_1h,macd,(solo),XAUT,2,12145,5466,49.0,-0.005
A_1h_1h,macd,rsi,XAUT,2,6653,3056,48.8,0.0
A_1h_1h,macd,bb,XAUT,2,6540,3025,48.9,0.003
A_1h_1h,macd,ema,XAUT,2,6189,2793,50.9,0.005
A_1h_1h,macd,adx,XAUT,2,7866,4030,49.1,-0.005
A_1h_1h,macd,vol,XAUT,2,4455,2427,48.9,-0.004
A_1h_1h,macd,(solo),XAUT,4,12143,6702,49.0,-0.002
A_1h_1h,macd,rsi,XAUT,4,6651,3714,48.8,0.011
A_1h_1h,macd,bb,XAUT,4,6540,3686,49.3,0.015
A_1h_1h,macd,ema,XAUT,4,6187,3420,51.3,0.02
A_1h_1h,macd,adx,XAUT,4,7866,4815,49.3,0.002
A_1h_1h,macd,vol,XAUT,4,4455,2834,49.4,0.007
A_1h_1h,bb,(solo),XAUT,1,2023,773,45.0,-0.019
A_1h_1h,bb,rsi,XAUT,1,283,96,36.5,-0.014
A_1h_1h,bb,macd,XAUT,1,282,92,41.3,-0.037
A_1h_1h,bb,ema,XAUT,1,529,190,41.6,-0.024
A_1h_1h,bb,adx,XAUT,1,1325,571,44.3,-0.027
A_1h_1h,bb,vol,XAUT,1,968,425,46.1,-0.014
A_1h_1h,bb,(solo),XAUT,2,2023,977,48.0,-0.029
A_1h_1h,bb,rsi,XAUT,2,283,119,44.5,-0.012
A_1h_1h,bb,macd,XAUT,2,282,102,48.0,-0.02
A_1h_1h,bb,ema,XAUT,2,529,225,50.2,-0.014
A_1h_1h,bb,adx,XAUT,2,1325,732,47.7,-0.037
A_1h_1h,bb,vol,XAUT,2,968,511,47.9,-0.018
A_1h_1h,bb,(solo),XAUT,4,2023,1231,49.2,-0.03
A_1h_1h,bb,rsi,XAUT,4,283,157,46.5,-0.017
A_1h_1h,bb,macd,XAUT,4,282,138,46.4,-0.036
A_1h_1h,bb,ema,XAUT,4,529,301,52.5,0.003
A_1h_1h,bb,adx,XAUT,4,1325,887,49.0,-0.038
A_1h_1h,bb,vol,XAUT,4,968,617,48.0,-0.021
B_1h_4h,rsi,macd,XAUT,1,34,13,76.9,0.109
B_1h_4h,rsi,bb,XAUT,1,16,12,75.0,0.241
B_1h_4h,rsi,ema,XAUT,1,60,31,71.0,0.106
B_1h_4h,rsi,adx,XAUT,1,305,151,45.7,-0.032
B_1h_4h,rsi,vol,XAUT,1,269,147,46.9,-0.035
B_1h_4h,rsi,macd,XAUT,2,34,14,64.3,0.077
B_1h_4h,rsi,bb,XAUT,2,16,14,78.6,0.319
B_1h_4h,rsi,ema,XAUT,2,60,42,73.8,0.158
B_1h_4h,rsi,adx,XAUT,2,305,187,48.1,-0.044
B_1h_4h,rsi,vol,XAUT,2,269,183,45.4,-0.059
B_1h_4h,rsi,macd,XAUT,4,34,27,70.4,0.103
B_1h_4h,rsi,bb,XAUT,4,16,16,81.2,0.356
B_1h_4h,rsi,ema,XAUT,4,60,48,66.7,0.145
B_1h_4h,rsi,adx,XAUT,4,305,212,48.6,-0.053
B_1h_4h,rsi,vol,XAUT,4,269,196,46.9,-0.066
B_1h_4h,macd,rsi,XAUT,1,6126,2098,55.4,0.021
B_1h_4h,macd,bb,XAUT,1,6083,2084,55.7,0.021
B_1h_4h,macd,ema,XAUT,1,6146,2072,52.9,0.01
B_1h_4h,macd,adx,XAUT,1,9397,3343,48.3,-0.003
B_1h_4h,macd,vol,XAUT,1,5016,2523,49.8,0.003
B_1h_4h,macd,rsi,XAUT,2,6125,2732,57.5,0.038
B_1h_4h,macd,bb,XAUT,2,6082,2730,57.8,0.038
B_1h_4h,macd,ema,XAUT,2,6145,2755,54.1,0.018
B_1h_4h,macd,adx,XAUT,2,9396,4408,48.7,-0.006
B_1h_4h,macd,vol,XAUT,2,5016,3167,50.5,0.004
B_1h_4h,macd,rsi,XAUT,4,6123,3361,56.4,0.057
