combo_id,symbol,stop_mode,atr_mult,wick_buffer_frac,require_pattern,rr_ratio,num_trades,win_rate,profit_factor,pnl_net_total,max_drawdown_pct
2,HYPE,atr,1.0,,True,2.0,282,43.61702127659575,1.1404732124114179,963.7984781896423,-32.84795175933136
2,AAPL/USD,atr,1.0,,True,2.0,143,41.95804195804196,0.6015923012279488,-613.8222864970293,-68.63783369597837
2,AMZN/USD,atr,1.0,,True,2.0,137,34.306569343065696,0.4740067727613304,-738.5386791681303,-76.18798002712657
3,BTC,atr,1.2,,False,2.0,347,47.262247838616716,1.0887434091865247,424.1941032710952,-30.946694066920305
3,ETH,atr,1.2,,False,2.0,376,49.202127659574465,1.2469548853701855,1749.9133473718512,-29.250373711183602
3,XAUT,atr,1.2,,False,2.0,333,38.73873873873874,0.5310308894871995,-929.0045755339905,-93.13030375562559
3,SP500/USD,atr,1.2,,False,2.0,152,42.10526315789473,0.5525578899648358,-708.4407302239151,-71.90772835508615
3,NASDAQ100/USD,atr,1.2,,False,2.0,151,34.437086092715234,0.5195613987644826,-732.0544415906365,-74.97327392034144
3,OIL_BRENT/USD,atr,1.2,,False,2.0,100,46.0,1.098090598840327,139.75146967347632,-21.01758320065232
3,SILVER/USD,atr,1.2,,False,2.0,137,36.496350364963504,0.7246375195700824,-426.36749512682036,-47.77623251080718
3,HYPE,atr,1.2,,False,2.0,361,45.98337950138504,1.1935392410582435,1923.8903569630288,-29.8077322660806
3,AAPL/USD,atr,1.2,,False,2.0,191,37.696335078534034,0.5671707310260342,-727.1569956946375,-75.3788673034524
3,AMZN/USD,atr,1.2,,False,2.0,176,39.77272727272727,0.6759581293827295,-577.5267430826035,-63.692465185459014
4,BTC,atr,1.2,,True,2.0,244,44.67213114754098,0.9516849451265973,-137.08828475989299,-33.399342635341064
4,ETH,atr,1.2,,True,2.0,244,47.13114754098361,1.1702470036872006,489.7021513352006,-32.262580774303245
4,XAUT,atr,1.2,,True,2.0,249,40.963855421686745,0.5913872081544823,-833.6425215115693,-84.55705860227023
4,SP500/USD,atr,1.2,,True,2.0,112,42.857142857142854,0.5396834337754252,-594.1780831335964,-64.26212213583277
4,NASDAQ100/USD,atr,1.2,,True,2.0,106,29.245283018867923,0.3871479160305981,-721.9159982499853,-73.23430025355384
4,OIL_BRENT/USD,atr,1.2,,True,2.0,65,50.76923076923077,1.2199374519202437,181.4132108677975,-12.363707247807868
4,SILVER/USD,atr,1.2,,True,2.0,92,30.434782608695656,0.4882101009560019,-541.9422380687739,-54.194223806877396
4,HYPE,atr,1.2,,True,2.0,269,45.353159851301115,1.1711002764980474,1050.3399215905938,-31.59672134808811
4,AAPL/USD,atr,1.2,,True,2.0,136,36.76470588235294,0.5588861266688006,-625.8192807479006,-65.87378217587262
4,AMZN/USD,atr,1.2,,True,2.0,135,36.2962962962963,0.558983106939557,-628.4693658552765,-66.40723687099447
5,BTC,atr,1.5,,False,2.0,327,47.40061162079511,1.1273318876510656,471.888270561697,-31.620366336066585
5,ETH,atr,1.5,,False,2.0,347,51.008645533141205,1.3040151613261919,1662.7934785096636,-26.354330859352654
5,XAUT,atr,1.5,,False,2.0,314,42.038216560509554,0.6238985851878515,-830.5540841349736,-83.93772361455217
5,SP500/USD,atr,1.5,,False,2.0,138,47.10144927536232,0.6379738767773037,-531.0570369699535,-54.04665717339995
5,NASDAQ100/USD,atr,1.5,,False,2.0,142,35.2112676056338,0.5097783311016607,-670.9819969522018,-69.33232072341946
5,OIL_BRENT/USD,atr,1.5,,False,2.0,89,46.06741573033708,0.9840905339695801,-18.52376598285707,-26.134232583504584
5,SILVER/USD,atr,1.5,,False,2.0,126,42.857142857142854,0.9210815694564516,-109.56511615209263,-40.093365775224505
5,HYPE,atr,1.5,,False,2.0,326,49.079754601226995,1.2929495020102053,1970.3488288936155,-23.15735373140849
5,AAPL/USD,atr,1.5,,False,2.0,176,41.47727272727273,0.7401177422916975,-458.0894452862484,-52.36809669743637
5,AMZN/USD,atr,1.5,,False,2.0,167,41.91616766467065,0.77697187369672,-382.2237892520758,-51.51178286945566
6,BTC,atr,1.5,,True,2.0,234,44.44444444444444,0.990096430398606,-25.99260762924598,-29.784463387584143
6,ETH,atr,1.5,,True,2.0,234,51.70940170940172,1.354852533227758,990.9243959594451,-22.580154093003294
6,XAUT,atr,1.5,,True,2.0,239,43.93305439330544,0.6488935802378224,-728.3498324827822,-75.12019526941407
6,SP500/USD,atr,1.5,,True,2.0,106,46.22641509433962,0.558335664955081,-500.01223428244333,-55.2977854689447
6,NASDAQ100/USD,atr,1.5,,True,2.0,104,32.69230769230769,0.4288698760588889,-625.6579831018407,-64.04839763457045
6,OIL_BRENT/USD,atr,1.5,,True,2.0,61,50.81967213114754,1.1376742362401584,96.67166929417067,-13.835294900906788
6,SILVER/USD,atr,1.5,,True,2.0,85,37.64705882352941,0.6019422935506071,-371.96791975468125,-42.4703312650532
6,HYPE,atr,1.5,,True,2.0,246,47.15447154471545,1.1975889745499941,833.1875787979307,-20.442011364926206
6,AAPL/USD,atr,1.5,,True,2.0,130,36.15384615384615,0.6122630332820467,-512.2201370046448,-56.394095891345216
6,AMZN/USD,atr,1.5,,True,2.0,128,39.0625,0.6856536305135553,-422.76866346604197,-48.95800204474788
7,BTC,atr,1.8,,False,2.0,303,50.165016501650165,1.2659028624628959,952.0471711345701,-14.464163328757499
7,ETH,atr,1.8,,False,2.0,327,50.764525993883794,1.234911946427609,850.1641445394771,-19.72040265747208
7,XAUT,atr,1.8,,False,2.0,294,41.49659863945578,0.6370518139062962,-780.0334406439528,-79.69060730218509
7,SP500/USD,atr,1.8,,False,2.0,132,48.484848484848484,0.6235234000439608,-473.9124399996916,-50.15096511479028
7,NASDAQ100/USD,atr,1.8,,False,2.0,136,35.294117647058826,0.5123789545982587,-616.2702339340223,-64.15818608249688
7,OIL_BRENT/USD,atr,1.8,,False,2.0,86,45.348837209302324,0.9283875098660858,-70.92039897547613,-24.461901261060916
7,SILVER/USD,atr,1.8,,False,2.0,121,41.32231404958678,0.815549453919652,-235.31941841912158,-36.87181794417267
7,HYPE,atr,1.8,,False,2.0,301,49.83388704318937,1.2286354676660307,1154.3966571170326,-19.43040915602243
7,AAPL/USD,atr,1.8,,False,2.0,167,41.31736526946108,0.7371824341988455,-402.4530319895749,-46.090548081600964
7,AMZN/USD,atr,1.8,,False,2.0,159,44.0251572327044,0.8141025028515366,-293.60068846643856,-47.480395329758
8,BTC,atr,1.8,,True,2.0,220,45.909090909090914,1.0962946579863766,221.11403492653858,-24.75461274178784
8,ETH,atr,1.8,,True,2.0,225,50.66666666666667,1.1603286535187585,341.42096066693875,-16.038201866797657
8,XAUT,atr,1.8,,True,2.0,228,42.98245614035088,0.6241003672805678,-713.7066730020456,-73.74745443491244
8,SP500/USD,atr,1.8,,True,2.0,104,46.15384615384615,0.549346393552332,-459.3916176693664,-52.606805552460656
8,NASDAQ100/USD,atr,1.8,,True,2.0,102,32.35294117647059,0.39802919190483654,-598.8604997163653,-61.40446693007024
8,OIL_BRENT/USD,atr,1.8,,True,2.0,60,51.66666666666667,1.1390236885790372,88.56199099684704,-14.031243359035333
